127.0.0.1 - - [14/Feb/2017:10:15:23 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:27 -0500] "GET /Reimbursement/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:27 -0500] "GET /Reimbursement/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:28 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:37 -0500] "POST /Reimbursement/login_master.do HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:46 -0500] "GET /Reimbursement/master.do?edit=edit HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:15:46 -0500] "GET /Reimbursement/resources/js/myEditUserSource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:13 -0500] "GET /Reimbursement/master.do?createNewUser=createNewUser HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:13 -0500] "GET /Reimbursement/resources/js/myNewUserSource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:16 -0500] "GET /Reimbursement/master.do?homepage=homepage HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:18 -0500] "GET /Reimbursement/master.do?edit=edit HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:22 -0500] "GET /Reimbursement/master.do?viewMyRequests=viewMyRequests HTTP/1.1" 200 5030
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:22 -0500] "GET /Reimbursement/resources/css/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:22 -0500] "GET /Reimbursement/resources/js/myTableSource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:22 -0500] "GET /Reimbursement/resources/js/myImageSource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:34 -0500] "GET /Reimbursement/master.do?pictureId=1001&_=1487085382303 HTTP/1.1" 200 243869
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:43 -0500] "GET /Reimbursement/master.do?viewAllRequests=viewAllRequests HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:48 -0500] "GET /Reimbursement/master.do?viewAllRequests=viewAllRequests HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:16:58 -0500] "GET /Reimbursement/master.do?logout=logout HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:17:00 -0500] "GET /Reimbursement/ResetPassword.jsp?forgotPassword=forgotPassword HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [14/Feb/2017:10:17:00 -0500] "GET /Reimbursement/resources/js/myResetPasswordSource.js HTTP/1.1" 304 -
